comment;rating;senti;lang
Заказал, перезвонили, согласовали, отослали, получил, доволен, спасибо.;5;1;ru
"Ребята-молодцы!!!Перезвонили в течении 20 минут;отправили посылку в течении часа.Дочке 7 лет-она в восторге)Это был ей подарок на день рождения...Научилась кататься за 5 минут(и это первый раз)-самобаланс очень помогает!Жаль,был он разряжен--пришлось ждать(ровно 2 часа),ну а каталась на прогулочной скорости 4-6 км/ч~3,5 часа).
Ребятам огромное спасибо за оперативность!
Качество отличное!
Однозначно советую этот магазин!";5;1;ru
"НЕ покупай эту дрочь. 
Купил тут павер банк на 45000 mAh 
Телефон не заряжает вообще 
Электронную сигарету заряжает раза 4-6 и все павер банк сдох даже не включается
Позвонил на сайт по номеру мне сказали что в павер банке не 45000mAh а 16000mAh 
Ну а на деле и 5000 mAh НЕТУ 
    ";1;0;ru
Обслуживание супер! Заказ доставили на следующий день, все понравилось, цена актуальна, все на высшем уровне. Советую всем покупать товары у этой компании. Благодарю вас, буду покупать только тут.;5;1;ru
Очень довольна работой магазина, в 10.00 заказ приняли, в 12 уже пришла транспортная накладная. ;5;1;ru
Всем привет! Хорошая компания, хорошие ребята! Собрали и отправили товар очень оперативно, товар полностью соответствовал ожиданиям и описаниям! всем советую!;5;1;ru
Сработали, как швейцарские часы. Работой компании очень доволен. Рекомендую!;5;1;ru
отличные босоножки ! ребенок доволен. удобно. обувь ортопедическая. Покупаю у этой компании много раз.  Спасибо !;5;1;ru
Отличная компания, покупал у них на основном сайте, очень рад что они перешли на Prom. Спасибо вам, удачи, побольше клиентов :);5;1;ru
Очень довольны покупкой!Спасибо!;5;1;ru
Все отлично, осталась довольна.;5;1;ru
Смеситель оказался бракованный, либо вставлен не рабочий картридж! Протекает вода при закрытом кране! Товарный чек и гарантийный талон отсутствовал! Лохтрон! ;1;0;ru
Потерял 3 недели времени, 65грн, зря бегал на НП по причине ошибки в оформлении. заказ так и не был выполнен, условия были изменены в процессе переговоров на менее выгодные. ;2;0;ru
хороший магазин, але довго телефонують;4;1;ru
Цена товара и наличие были актуальны. Менеджер дал точную информацию и оперативно отправил товар. Через сутки забрал товар на почте. ;5;1;ru
Заказывал замки окон, все пришло быстро, установил за 10 минут, все ок, рекомендую к сотрудничеству.;5;1;ru
Спасибо за хороший товар.;5;1;ru
Очень довольна покупкой!!;5;1;ru
Продавец супер. Реально купил детские наручные смарт часы примерно за 2 часа , причем договорились на время когда мне удобно . Оперативный , Пунктуальный и очень грамотный подход к Покупателю (я впервые покупал детские смарт часы и очень поверхностно владел вопросом) . Все на месте в меру возможностей показали и объяснили . Однозначно рекомендую , покупкой очень доволен !;5;1;ru
Спасибо за хорошее обслуживание!;5;1;ru
05.05.2018 был оформлен заказ на химию для бассейна, заказывала хлор шокового действия С60-Т 1 кг фирмы Аква Доктор в таблетках по 20 гр, а прислали пластиковое ведро с таблетками без этикетки, то есть отсутствует название фирмы, срок годности, способ использования и т.д. и на крышке отксеренная бумага приклеенная с описанием хлора длительного действия для таблеток по 200гр. Что это?  Используем химию для бассейна фирмы Аква Доктор много лет, но такого оформления еще не видели. ;3;0;ru
Хорошая цена на купленный товар. Спасибо!;5;1;ru
все понравилось, товар качественный, быстро связались,  предложили разные варианты товара,  опереатор-девушка терпеливо и отлично общалась ;4;1;ru
Благодарю за консультацию!);5;1;ru
"Полученный товар абсолютно не соответствует заявленным характеристикам. Угол обзора менее 90°, хотя заявлено 170°. Инфракрасная подсветка не работает. Качество видео вдвое ниже заявленного.
Единственное что утешает это то что заплатил всего 400 грн., Это стоимость с доставкой. А так то просто ужас.";1;0;ru
товар пришол быстро. еще не пробовала в использовании. ;5;1;ru
Качество ниже некуда. Просто ужас. Напрасно потраченные деньги.;2;0;ru
Жахлива компанiя в планi роботи з клiэнтами. Замовлення так i не вислали,а точнiше просто кормили завтраками. Не вмiэте працювати то закри вайте сторiнку.;1;0;ru
Кальян приехал с Одессы в Киев за ночь, покупке рад, уже испробовал, все гуд. Покупайте не бойтесь!);5;1;ru
Заказал бампер на Авео пришел  но работа не качественна пришлось дорабатывать очень не доволен еще и предоплату просят;1;0;ru
Оперативно. Вежливо. Качественно. Пунктуально. И , что , немаловажно , недорого ! Очень доволен , рекомендую !;5;1;ru
Пришол вовремя, в хорошем состоянии ;5;1;ru
Серьги хорошие, только вместо камушек обычный некрасивый пластик;3;0;ru
общались по СМС меня это устраивает не люблю когда перезванивают сделка на 5;5;1;ru
"Хочу поделится правдивым отзывом! Покупали здесь оборудование для кроссфита а именно обратную гиперекстензию, говорю как есть, изготавливали на 5 дней дольше чем говорили, я уж начал переживать.. Но в конечном итоге, по приходу, реально был удивлен в хорошем смысле этого слова! Качество исполнения на высшем уровне, я как придирчивой человек к каждым мелочам, скажу, что изготовлено с душой, швы отличные, краска как залитая пластиком на вид и ощупь похоже на матовый эпоксид - очень эффектно смотрится, везде наклейки, даже какие то правила пользования, честно очень удивлен! теперь я ваш клиент.
P.S. на гиперекстензии есть крепление к полу, но зачем оно я так и не понял, станок и так стоит как монолит!)  Удачи вам и процвитания, через неделю еще закажу молот на 10 кг!";5;1;ru
"Хотел заказать трос в оплетке 4/6 - очень понравилось описание его ТТХ. Дозвонился по одному из номеров , указанных на сайте кампании. Сказал что тросами занимается отдельный человек - Сергей. Дали номер. Каждый день дозванивался, получал уверения о скорейшем перезвоне с информацией по товару и приёмом заказа -  на сутки про меня забывали. Потом звонил сам, напоминался... 
Вообщем, на четвертый день мне наконец сказали что товара нет,  в ближайшее - не будет. Предложил купить другой трос, потоньше, который мне уже не подходил.
Вообщем, как-то не очень порадовало начало сотрудничества - сплошной осадок.
А вот трос бы при случае хотелось бы опробовать....";2;0;ru
"Спасибо.
Все замечательно!";5;1;ru
Доставка произошла быстро и успешно👍;5;1;ru
Рекомендую! Классный магазин! Быстро перезвонили, без кидалова шума и пыли! Навигатору не нарадуюсь... ;5;1;ru
Отправили быстро, обслуживание на 5+. Рекомендую ;5;1;ru
хорошая компания!Связались оперативно,быстро доставили заказ.Очень рекомендую.Молодцы!!;5;1;ru
"Очень понравилась ценовая политика и ответственность в вопросах доставки. (несмотря на то, что товара не оказалось в наличии и у меня были достаточно ограниченные условия по времени, во всем пошли на встречу, и сделали доставку четко во время.)
К качеству товаров тоже претензий нет. 
Ставлю 4, а не 5, потому что описание товара не везде актуальное (заказывала синюю лопатку - про цвет нигде упоминания не было, на картинке синяя - привезли беж. На вопрос ""почему не синяя?"" сотрудница магазина сказала что я должна была догадаться сама прописать все характеристики позиций, потому что они ориентируются на артикул, который как оказывается, тоже не верно указан. Что странно, зная об этом оператор при подтверждении заказа не задала ни единого уточняющего вопроса на эту тему.) В общем, если хотите получить то, что хотите, то гуглите каждый товар на других сайтах, копируйте оттуда все характеристики и пишите их в комменты к заказу, иначе положат ""что есть"", даже если ""под заказ в течение пары дней"".
ПС. К руководству на данный момент вопросов нет - жду замены товара. Как заменят, добавлю в отзыв.";4;1;ru
"заказывала шоколадку Студенческую. приехала спустя две недели, поломанная и скрученная восьмёркой. срок годности заканчивается через 1день.
цвет у шоколадки вообще непонятный, с налётом, с точками, воняет, есть нереально! если бы можно было загрузить фото, я б с удовольствием поделилась!";1;0;ru
очень довольна у нас в городе намного дороже ;5;1;ru
 Заказ получили очень быстро. Спасибо. ;5;1;ru
Очень понравилось, организовано был доставлен заказ . Спасибо !;5;1;ru
"Понравилось:наличие товара, соответствие цены, быстрая доставка.
Не понравилось: ""Укрпочтой"" отправляют только по предоплате.";4;1;ru
"Очень быстрая доставка.
Продавец молодец.
Рекомендую.";5;1;ru
